DrugName,,B,,D,,,E,,,,L,,M,N,,,,R,,
MACADAMIA NUT OIL,,,,16.9OZ,,,NOW FOODS,,,,0,,$9.32,$13.00,,,,Winston Salem Sales Tax,,
HAWTHORN,,1050 MG,,180 CAP,,,NUTRACEUTICAL,,,,0,,$2.50,$5.00,,,,Winston Salem Sales Tax,,
MACA,,525 MG,,60 CAP,,,NUTRACEUTICAL,,,,0,,$3.70,$7.00,,,,Winston Salem Sales Tax,,
ASTRAGALUS,,200MG,,60 CAP,,,NUTRACEUTICAL,,,,0,,$3.28,$6.00,,,,Winston Salem Sales Tax,,
5 HTP,,50 MG,,60 CAP,,,NOW FOODS,,,,0,,$4.68,$9.00,,,,Winston Salem Sales Tax,,
BETAINE HCL,,350 MG,,100TAB,,,NUTRACEUTICAL,,,,0,,$5.50,$10.00,,,,Winston Salem Sales Tax,,
NIACINAMIDE,,500MG,,100 TAB,,,NUTRACEUTICAL,,,,0,,$4.54,$8.00,,,,Winston Salem Sales Tax,,
POTASSIUM,,99 MG,,100 CAP,,,NOW FOODS,,,,0,,$3.60,$7.00,,,,Winston Salem Sales Tax,,
NIACIN 100MG,,100MG,,100TAB,,,NUTRACEUTICAL,,,,0,,$3.85,$6.00,,,,Winston Salem Sales Tax,,
COPPER,,2MG,,100 CAP,,,NUTRACEUTICAL,,,,0,,$4.00,$8.00,,,,Winston Salem Sales Tax,,
MSM,,1000MG,,180 CAP,,,NOW FOODS,,,,0,,$8.79,$15.00,,,,Winston Salem Sales Tax,,
SOLARAY NIACIN,,100MG,,100CT,,,NUTRACEUTICAL,,,,0,,$3.57,$8.00,,,,Winston Salem Sales Tax,,
SOLARAY NIACINAMIDE,,500MG,,100 CAP,,,NUTRACEUTICAL,,,,0,,$4.79,$10.00,,,,Winston Salem Sales Tax,,
GINGER,,1080MG,,100 CAP,,,NUTRACEUTICAL,,,,0,,$7.70,$13.00,,,,Winston Salem Sales Tax,,
ALLERGY/SINUS SPRAY .8 OZ,,,,,,,NUTRACEUTICAL,,,,0,,$8.70,$13.00,,,,Winston Salem Sales Tax,,
