DrugName,,B,,D,,,E,,,,L,,M,N,,,,R,,
OVASITOL,,,,14.12 OZ,,,THERALOGIX NUTRITIONAL SCIENCE,,,,0,,$50.00,$79.00,,,,Winston Salem Sales Tax,,
METHYLENE BLUE,,1%,,,,,BIOPHARM INC,,,,0,,$27.00,$44.00,,,,Winston Salem Sales Tax,,
A.D.P.,,,,,,,BIOTICS RESEARCH,,,,0,,$24.95,$40.00,,,,Winston Salem Sales Tax,,
FC-CIDAL,,,,,,,BIOTICS RESEARCH,,,,0,,$18.95,$32.00,,,,Winston Salem Sales Tax,,
NUTRICLEAR COLLAGEN,,,,,,,BIOTICS RESEARCH,,,,0,,$108.00,$170.00,,,,Winston Salem Sales Tax,,
NUTRICLEAR PEA PROTEIN,,,,,,,BIOTICS RESEARCH,,,,0,,$108.00,$170.00,,,,Winston Salem Sales Tax,,
BIOCIDIN,,,,1 OZ,,,EMERSON,,,,0,,$37.95,$60.00,,,,Winston Salem Sales Tax,,
BIOTONIC,,,,2 OZ,,,EMERSON,,,,0,,$24.95,$40.00,,,,Winston Salem Sales Tax,,
OLIVIREX,,,,,,,EMERSON,,,,0,,$22.95,$37.00,,,,Winston Salem Sales Tax,,
GI DETOX,,,,60 CAP,,,EMERSON,,,,0,,$19.95,$34.00,,,,Winston Salem Sales Tax,,
LIPO GLUTATHIONE,,250 MG,,,,,Wellness Pharmacy,,,,0,,$33.00,$58.00,,,,Winston Salem Sales Tax,,
STRESSCARE,,720 MG,,120 CAP,,,HIMALAYA,,,,0,,$17.50,$29.00,,,,Winston Salem Sales Tax,,
LIVERCARE,,375 MG,,90 CAP,,,HIMALAYA,,,,0,,$16.80,$28.00,,,,Winston Salem Sales Tax,,
MENOCARE,,,,90 CAP,,,HIMALAYA,,,,0,,$17.50,$29.00,,,,Winston Salem Sales Tax,,
HOLY BASIL,,,,120 CAP,,,HIMALAYA,,,,0,,$7.00,$12.00,,,,Winston Salem Sales Tax,,
BITTER MELON,,,,60 CAP,,,HIMALAYA,,,,0,,$6.00,$10.00,,,,Winston Salem Sales Tax,,
KIDS BUBBLEGUM TOOTHPASTE,,,,,,,HIMALAYA,,,,0,,$3.00,$5.00,,,,Winston Salem Sales Tax,,
KIDS COOL MINT TOOTHPASTE,,,,,,,HIMALAYA,,,,0,,$3.00,$5.00,,,,Winston Salem Sales Tax,,
BOSWELIA,,,,120 CAP,,,HIMALAYA,,,,0,,$13.15,$22.00,,,,Winston Salem Sales Tax,,
BOSWELLIA,,,,240 CAP,,,HIMALAYA,,,,0,,$21.50,$35.00,,,,Winston Salem Sales Tax,,
KIDS ORANGE TOOTHPASTE,,,,,,,HIMALAYA,,,,0,,$3.00,$5.00,,,,Winston Salem Sales Tax,,
TURMERIC TOOTHPASTE,,,,,,,HIMALAYA,,,,0,,$3.60,$6.00,,,,Winston Salem Sales Tax,,
CHARCOAL TOOTHPASTE,,,,,,,HIMALAYA,,,,0,,$3.60,$6.00,,,,Winston Salem Sales Tax,,
BAMBOO TOOTHPASTE,,,,,,,HIMALAYA,,,,0,,$3.60,$6.00,,,,Winston Salem Sales Tax,,
HELLO JOY,,,,,,,HIMALAYA,,,,0,,$12.00,$20.00,,,,Winston Salem Sales Tax,,
HELLO ENERGY,,,,,,,HIMALAYA,,,,0,,$12.00,$20.00,,,,Winston Salem Sales Tax,,
ASHWAGANDHA POWDER,,,,,,,HIMALAYA,,,,0,,$8.50,$14.00,,,,Winston Salem Sales Tax,,
MENSTRICARE,,,,120 CAP,,,HIMALAYA,,,,0,,$20.00,$33.00,,,,Winston Salem Sales Tax,,
NEEM AND TURMERIC FACE WASH,,,,5 OZ,,,HIMALAYA,,,,0,,$5.39,$10.00,,,,Winston Salem Sales Tax,,
WHITENING MINT TOOTHPASTE,,,,,,,HIMALAYA,,,,0,,$3.59,$6.00,,,,Winston Salem Sales Tax,,
BACOPA,,750 MG,,60 CAP,,,HIMALAYA,,,,0,,$13.50,$23.00,,,,Winston Salem Sales Tax,,
TRIPHALA,,250 MG,,60 CAP,,,HIMALAYA,,,,0,,$9.50,$16.00,,,,Winston Salem Sales Tax,,
HOLY BASIL,,720 MG,,,,,HIMALAYA,,,,0,,$11.00,$18.00,,,,Winston Salem Sales Tax,,
NEEM,,600 MG,,60 CAP,,,HIMALAYA,,,,0,,$9.00,$15.00,,,,Winston Salem Sales Tax,,
BITTER MELON,,660 MG,,60 CAP,,,HIMALAYA,,,,0,,$8.48,$14.00,,,,Winston Salem Sales Tax,,
TRIPHALA,,,,60 CAP,,,HIMALAYA,,,,0,,$9.50,$16.00,,,,Winston Salem Sales Tax,,
WHITENING AND HYDROXYAPATITE TOOTHPASTE,,,,,,,HIMALAYA,,,,0,,$3.30,$6.00,,,,Winston Salem Sales Tax,,
NT FACTOR ENERGY,,,,90 TAB,,,Researched Nutritionals,,,,0,,$26.50,$48.00,,,,Winston Salem Sales Tax,,
TRANSFER FACTOR,,,,60 CAP,,,Researched Nutritionals,,,,0,,$22.49,$40.00,,,,Winston Salem Sales Tax,,
ENERGY MULTI-PLEX,,,,,,,Researched Nutritionals,,,,0,,$22.49,$45.00,,,,Winston Salem Sales Tax,,
ATP FUEL,,,,150 CAP,,,Researched Nutritionals,,,,0,,$36.50,$58.00,,,,Winston Salem Sales Tax,,
COQ10 POWER,,400 MG,,GEL 60.00,,,Researched Nutritionals,,,,0,,$33.00,$55.00,,,,Winston Salem Sales Tax,,
ATP 360,,,,90 CAP,,,Researched Nutritionals,,,,0,,$36.49,$60.00,,,,Winston Salem Sales Tax,,
HISTAQUEL,,,,120 CAP,,,Researched Nutritionals,,,,0,,$34.49,$55.00,,,,Winston Salem Sales Tax,,
MYCOPULL,,,,,,,Researched Nutritionals,,,,0,,$19.99,$35.00,,,,Winston Salem Sales Tax,,
COLOSTRUM,,,,120 CAP,,,Sovereign Labs,,,,0,,$226.37,$44.00,,,,Winston Salem Sales Tax,,
VANILLA COLOSTRUM,,,,16 OZ,,,Sovereign Labs,,,,0,,$65.97,$104.00,,,,Winston Salem Sales Tax,,
VANILLA COLOSTRUM,,,,12 OZ,,,Sovereign Labs,,,,0,,$50.00,$84.00,,,,Winston Salem Sales Tax,,
VANILLA COLOSTRUM,,,,6 OZ,,,Sovereign Labs,,,,0,,$27.00,$52.00,,,,Winston Salem Sales Tax,,
VIT C LD,,520 MG,,120 CAP,,,Sovereign Labs,,,,0,,$12.00,$31.00,,,,Winston Salem Sales Tax,,
STOMACH ARMOR,,,,60 CAP,,,Sovereign Labs,,,,0,,$15.00,$24.00,,,,Winston Salem Sales Tax,,
COLOSTRUM,,,,16 OZ,,,Sovereign Labs,,,,0,,$65.97,$104.00,,,,Winston Salem Sales Tax,,
COLOSTRUM,,,,6 OZ,,,Sovereign Labs,,,,0,,$30.00,$52.00,,,,Winston Salem Sales Tax,,
COLOSTRUM,,,,12 OZ,,,Sovereign Labs,,,,0,,$49.77,$82.00,,,,Winston Salem Sales Tax,,
GASTRODEFENSE NIGHT,,,,60 CAP,,,Sovereign Labs,,,,0,,$18.00,$31.00,,,,Winston Salem Sales Tax,,
GASTRODEFENSE DAILY,,,,60 CAP,,,Sovereign Labs,,,,0,,$18.00,$31.00,,,,Winston Salem Sales Tax,,
FALL HONEY,,,,16 OZ,,,L & B Apiaries,,,,0,,$3.30,$6.00,,,,Winston Salem Sales Tax,,
SPRING HONEY,,,,16 OZ,,,L & B Apiaries,,,,0,,$3.30,$6.00,,,,Winston Salem Sales Tax,,
BEE POLLEN,,,,8 OZ,,,L & B Apiaries,,,,0,,$3.30,$7.00,,,,Winston Salem Sales Tax,,
ADRENAL,,434 MG,,90 TAB,,,Standard Process,,,,0,,$8.25,$14.00,,,,Winston Salem Sales Tax,,
CALICIFOOD,,,,100 WAFFERS,,,Standard Process,,,,0,,$15.00,$24.00,,,,Winston Salem Sales Tax,,
CARDIO-PLUS,,,,,,,Standard Process,,,,0,,$26.50,$45.00,,,,Winston Salem Sales Tax,,
CRUCIFEROUS,,,,,,,Standard Process,,,,0,,$15.25,$25.00,,,,Winston Salem Sales Tax,,
HEPATROPHIN,,,,,,,Standard Process,,,,0,,$10.75,$18.00,,,,Winston Salem Sales Tax,,
LIVAPLEX,,,,,,,STandard Process,,,,0,,$13.50,$22.00,,,,Winston Salem Sales Tax,,
ORCHIC PMG,,,,90 TAB,,,STandard Process,,,,0,,$15.00,$24.00,,,,Winston Salem Sales Tax,,
PANCREATROPHIN PMG,,,,90 CAP,,,STandard Process,,,,0,,$12.50,$20.00,,,,Winston Salem Sales Tax,,
PITUITROPHIN PMG,,,,90 TAB,,,STandard Process,,,,0,,$18.00,$30.00,,,,Winston Salem Sales Tax,,
SPLEEN DESICCATED,,,,,,,STANDARD PROCESS,,,,0,,$11.00,$18.00,,,,Winston Salem Sales Tax,,
BETACOL,,,,,,,STANDARD PROCESS,,,,0,,$12.75,$20.00,,,,Winston Salem Sales Tax,,
IMMUPLEX,,,,,,,STANDARD PROCESS,,,,0,,$17.00,$28.00,,,,Winston Salem Sales Tax,,
LIVCO,,,,,,,STANDARD PROCESS,,,,0,,$46.75,$75.00,,,,Winston Salem Sales Tax,,
NERVAGESIC,,,,,,,STANDARD PROCESS,,,,0,,$23.75,$35.00,,,,Winston Salem Sales Tax,,
TONGKAT ALI,,,,,,,STANDARD PROCESS,,,,0,,$24.75,$40.00,,,,Winston Salem Sales Tax,,
POMEGRANATE POWDER,,,,8 OZ,,,NAVITAS,,,,0,,$13.00,$22.00,,,,Winston Salem Sales Tax,,
CACAO NIBS,,,,4 OZ,,,NAVITAS,,,,0,,$3.65,$6.00,,,,Winston Salem Sales Tax,,
CACAO POWDER,,,,8 OZ,,,NAVITAS,,,,0,,$6.99,$12.00,,,,Winston Salem Sales Tax,,
ALA MAX CR,,,,60 TAB,,,Xymogen,,,,0,,$34.91,$56.00,,,,Winston Salem Sales Tax,,
PEPCIX,,,,60 CHEWABLE,,,Xymogen,,,,0,,$27.99,$45.00,,,,Winston Salem Sales Tax,,
FITFOOD COMP VAN,,,,10 PACK,,,Xymogen,,,,0,,$15.68,$25.00,,,,Winston Salem Sales Tax,,
NRF2 ACTIVATOR,,,,,,,Xymogen,,,,0,,$31.04,$50.00,,,,Winston Salem Sales Tax,,
MONOPURE,,,,120 CAP,,,Xymogen,,,,0,,$39.35,$63.00,,,,Winston Salem Sales Tax,,
MONOPURE,,,,60 CAP,,,Xymogen,,,,0,,$19.68,$34.00,,,,Winston Salem Sales Tax,,
FITFOOD COMP CHOC,,,,10 PACK,,,Xymogen,,,,0,,$15.68,$25.00,,,,Winston Salem Sales Tax,,
SPORTS MAGNESIUM,,,,8 OZ,,,HAIOTB- PHYSICAL STORE,,,,0,,$13.00,$24.00,,,,Winston Salem Sales Tax,,
MAGNESIUM SALT,,,,2.2 LB,,,HAIOTB- PHYSICAL STORE,,,,0,,$8.50,$14.50,,,,Winston Salem Sales Tax,,
MAGNESIUM OIL,,,,8 OZ,,,HAIOTB- PHYSICAL STORE,,,,0,,$13.00,$22.00,,,,Winston Salem Sales Tax,,
MAGNESIUM BALM,,,,4 OZ,,,HAIOTB- PHYSICAL STORE,,,,0,,$13.00,$22.00,,,,Winston Salem Sales Tax,,
MAGNESIUM ROLL-ON,,,,3 OZ,,,HAIOTB- PHYSICAL STORE,,,,0,,$8.00,$12.00,,,,Winston Salem Sales Tax,,
CURCUMIN,,650 MG,,60 CAP,,,HAIOTB- PHYSICAL STORE,,,,0,,$14.99,$26.00,,,,Winston Salem Sales Tax,,
WATER BOTTLE,,,,6 PACK,,,HAIOTB- PHYSICAL STORE,,,,0,,$78.00,$120.00,,,,Winston Salem Sales Tax,,
VITAMIN K2- MK7,,150 MCG,,,,,HAIOTB- PHYSICAL STORE,,,,0,,$12.86,$22.00,,,,Winston Salem Sales Tax,,
PREGNENOLONE,,75 MG,,100 CAP,,,HAIOTB- PHYSICAL STORE,,,,0,,$16.69,$28.00,,,,Winston Salem Sales Tax,,
TURMERIC,,500 MG,,100 CAP,,,HAIOTB- PHYSICAL STORE,,,,0,,$14.00,$26.00,,,,Winston Salem Sales Tax,,
VIT K2 MAX,,75 MCG,,60 CAP,,,HAIOTB- PHYSICAL STORE,,,,0,,$14.00,$26.00,,,,Winston Salem Sales Tax,,
ASHWAGANDA,,450 MG,,180 CAP,,,HAIOTB- PHYSICAL STORE,,,,0,,$15.25,$22.00,,,,Winston Salem Sales Tax,,
MAG MALATE,,1350 MG,,200 CAP,,,HAIOTB- PHYSICAL STORE,,,,0,,$14.00,$22.00,,,,Winston Salem Sales Tax,,
BANABA LEAF,,250 MG,,100 CAP,,,HAIOTB- PHYSICAL STORE,,,,0,,$14.97,$20.00,,,,Winston Salem Sales Tax,,
BONE SUPPORT,,925 MG,,90 CAP,,,HAIOTB- PHYSICAL STORE,,,,0,,$16.00,$24.00,,,,Winston Salem Sales Tax,,
DAILY MULTI,,,,120 CAP,,,HAIOTB- PHYSICAL STORE,,,,0,,$16.50,$24.50,,,,Winston Salem Sales Tax,,
PLANTIOXIDANTS,,,,120 CAP,,,HAIOTB- PHYSICAL STORE,,,,0,,$7.65,$31.25,,,,Winston Salem Sales Tax,,
BERBERINE,,450 MG,,180 CAP,,,HAIOTB- PHYSICAL STORE,,,,0,,$17.99,$30.00,,,,Winston Salem Sales Tax,,
PH ADJUST POWDER,,,,,,,HAIOTB- PHYSICAL STORE,,,,0,,$14.00,$21.00,,,,Winston Salem Sales Tax,,
DAILY MULTI,,,,120 CAP,,,HAIOTB- PHYSICAL STORE,,,,0,,$16.00,$24.50,,,,Winston Salem Sales Tax,,
VIT D3,,7500 IU,,100 SOFTGEL,,,HAIOTB- PHYSICAL STORE,,,,0,,$9.75,$20.00,,,,Winston Salem Sales Tax,,
PROBIOTIC,,25 BIL,,100 CAP,,,HAIOTB- PHYSICAL STORE,,,,0,,$24.39,$33.00,,,,Winston Salem Sales Tax,,
KETOX SHAKE,,,,1.58 LB,,,HAIOTB- PHYSICAL STORE,,,,0,,$13.65,$36.75,,,,Winston Salem Sales Tax,,
BONESUPPORT,,925 MG,,90 CAP,,,HAIOTB- PHYSICAL STORE,,,,0,,$15.65,$27.00,,,,Winston Salem Sales Tax,,
BERBERINE,,450 MG,,60 CAP,,,HAIOTB- PHYSICAL STORE,,,,0,,$13.28,$28.00,,,,Winston Salem Sales Tax,,
BRAIN SAVE,,,,180 CAP,,,HAIOTB- PHYSICAL STORE,,,,0,,$37.36,$70.00,,,,Winston Salem Sales Tax,,
KETONE TEST STRIPS,,,,100,,,HAIOTB- PHYSICAL STORE,,,,0,,$5.00,$10.00,,,,Winston Salem Sales Tax,,
MUSCADINE GRAPESEED,,,,60 CAP,,,HAIOTB- PHYSICAL STORE,,,,0,,$7.00,$20.00,,,,Winston Salem Sales Tax,,
ESTROGEN CONTROL,,,,60 CAP,,,HAIOTB- PHYSICAL STORE,,,,0,,$15.00,$30.00,,,,Winston Salem Sales Tax,,
BLACK CUMIN SEED,,,,60 CAP,,,HAIOTB- PHYSICAL STORE,,,,0,,$10.00,$16.00,,,,Winston Salem Sales Tax,,
ASHWAGANDA 7%,,300 MG,,60 CAP,,,HAIOTB- PHYSICAL STORE,,,,0,,$11.00,$19.00,,,,Winston Salem Sales Tax,,
EYE DEFENSE,,,,30 SOFTGEL,,,HAIOTB- PHYSICAL STORE,,,,0,,$15.75,$25.00,,,,Winston Salem Sales Tax,,
OMEGA 3,,400/300 MG,,120 SOFTGEL,,,HAIOTB- PHYSICAL STORE,,,,0,,$18.45,$30.00,,,,Winston Salem Sales Tax,,
ADRENAL SYNERGY,,,,60 CAP,,,HAIOTB- PHYSICAL STORE,,,,0,,$14.00,$24.00,,,,Winston Salem Sales Tax,,
BLOOD SUGAR SYNERGY,,,,60 CAP,,,HAIOTB- PHYSICAL STORE,,,,0,,$16.00,$26.00,,,,Winston Salem Sales Tax,,
INFLAMMATION SYNERGY,,,,60 CAP,,,HAIOTB- PHYSICAL STORE,,,,0,,$16.00,$26.00,,,,Winston Salem Sales Tax,,
CIRCULATION SYNERGY,,,,60 CAP,,,HAIOTB- PHYSICAL STORE,,,,0,,$14.00,$24.00,,,,Winston Salem Sales Tax,,
VIT D&K,,7500IU/200MCG,,,,,HAIOTB- PHYSICAL STORE,,,,0,,$14.00,$26.00,,,,Winston Salem Sales Tax,,
LEPTIN SYNERGY,,,,60 CAP,,,HAIOTB- PHYSICAL STORE,,,,0,,$15.83,$27.00,,,,Winston Salem Sales Tax,,
BERBERINE,,450 MG,,60 CAP,,,HAIOTB- PHYSICAL STORE,,,,0,,$4.37,$14.50,,,,Winston Salem Sales Tax,,
BLACK CUMIN SEED,,,,60 CAP,,,HAIOTB- PHYSICAL STORE,,,,0,,$2.85,$9.00,,,,Winston Salem Sales Tax,,
WATER BOTTLE REFILL,,,,,,,HAIOTB- PHYSICAL STORE,,,,0,,$0.01,$1.00,,,,Winston Salem Sales Tax,,
WATER BOTTLE REFILL 6,,,,,,,HAIOTB- PHYSICAL STORE,,,,0,,$0.06,$6.00,,,,Winston Salem Sales Tax,,
HAIOTB WATER BOTTLE,,,,,,,HAIOTB- PHYSICAL STORE,,,,0,,$13.00,$20.00,,,,Winston Salem Sales Tax,,
LORATADINE,,10 MG,,100 TAB,,,Henry Schein,,,,0,,$6.00,$12.00,,,,Winston Salem Sales Tax,,
ADDED ATTENTION,,,,16 OZ,,,EMERSON,,,,0,,$20.09,$33.00,,,,Winston Salem Sales Tax,,
SWEDISH BITTERS,,,,,,,EMERSON,,,,0,,$15.87,$30.00,,,,Winston Salem Sales Tax,,
VINPOCETINE,,10 MG,,60 TAB,,,EMERSON,,,,0,,$6.59,$11.00,,,,Winston Salem Sales Tax,,
ANDROGRAPHIS,,400 MG,,90 CT,,,NOW FOODS,,,,0,,$8.49,$13.00,,,,Winston Salem Sales Tax,,
ALBIZIA CALM,,,,2 OZ,,,EMERSON,,,,0,,$8.25,$13.00,,,,Winston Salem Sales Tax,,
LEMON BALM 500M,,500 M,,120 CAP,,,EMERSON,,,,0,,$14.10,$25.00,,,,Winston Salem Sales Tax,,
MAGNESIUM GLYCINATE,,400 MG,,,,,EMERSON,,,,0,,$20.00,$35.00,,,,Winston Salem Sales Tax,,
P-5-P 33.8 MG 60 CAO,,33.8 MG,,60 COA,,,EMERSON,,,,0,,$7.80,$13.00,,,,Winston Salem Sales Tax,,
NA-PCA,,,,,,,EMERSON,,,,0,,$7.77,$12.00,,,,Winston Salem Sales Tax,,
FO-TI ROOT,,,,100 CAP,,,EMERSON,,,,0,,$6.48,$12.00,,,,Winston Salem Sales Tax,,
GOTU KOLA,,475 MG,,100 CAP,,,EMERSON,,,,0,,$6.00,$10.00,,,,Winston Salem Sales Tax,,
UMCKA COLD + FLU,,,,4 OZ,,,EMERSON,,,,0,,$11.96,$20.00,,,,Winston Salem Sales Tax,,
UMCKA COLD&FLU CHEWABLES,,,,,,,EMERSON,,,,0,,$10.19,$16.00,,,,Winston Salem Sales Tax,,
UMCKA COLD SUGAR FREE,,,,,,,EMERSON,,,,0,,$10.78,$18.00,,,,Winston Salem Sales Tax,,
UMCKA COLD & FLU,,,,,,,EMERSON,,,,0,,$11.39,$18.00,,,,Winston Salem Sales Tax,,
UMCKA COLDCARE KIDS,,,,,,,EMERSON,,,,0,,$7.19,$12.00,,,,Winston Salem Sales Tax,,
INNATE ADRENAL RESPONSE,,,,,,,EMERSON,,,,0,,$40.00,$60.00,,,,Winston Salem Sales Tax,,
PHARMA GABA,,100 MG,,60 CAP,,,EMERSON,,,,0,,$14.00,$24.00,,,,Winston Salem Sales Tax,,
GREEN VIBRANCE,,,,,,,EMERSON,,,,0,,$37.20,$58.00,,,,Winston Salem Sales Tax,,
